Title,Published_date,Views,Likes,Comments,Category,category
Why Toll Text Scams Are Out Of Control,2025-03-15T16:00:45Z,196740,3218,598,News & Politics,News & Politics
How Americans Will Pay For Trump's Canadian Tariffs,2025-03-14T16:05:14Z,355344,3348,3328,News & Politics,News & Politics
What Trump's $5 Million 'Gold Card' Visa Means For Rich Immigrants,2025-03-13T16:00:08Z,105111,1303,501,News & Politics,News & Politics
Why Aluminum Tariffs May Be Pricey For Americans,2025-03-12T16:00:26Z,602928,7123,2297,News & Politics,News & Politics
Why Estée Lauder Is Spending $1.5 Billion On A Makeover,2025-03-11T16:00:10Z,76506,1173,144,News & Politics,News & Politics
"Tariffs raise prices but aren't technically inflationary, says tax expert",2025-03-10T16:00:09Z,6099,156,28,News & Politics,News & Politics
Why Beyond Meat And The Plant-Based Meat Industry Couldn't Live Up To The Hype,2025-03-09T16:00:14Z,828596,9286,3325,News & Politics,News & Politics
"Why Airlines Demand For First-Class Seats Delayed Boeing, Airbus Production",2025-03-08T17:00:14Z,148204,1510,179,News & Politics,News & Politics
Why Tesla Stock Is Threatened By Trump's EV Cuts,2025-03-07T17:00:45Z,335136,3567,991,News & Politics,News & Politics
How Facebook Marketplace Amassed More Shoppers Than Amazon,2025-03-06T17:00:46Z,196587,2857,256,News & Politics,News & Politics
What went wrong for Spirit Airlines?,2025-03-05T17:01:04Z,8911,208,12,News & Politics,News & Politics
"How International Brands Like Primark, Uniqlo And Mango Won Over America",2025-03-04T17:00:10Z,234281,2825,266,News & Politics,News & Politics
"Soaring AI power demand has Google, Microsoft and Amazon scrambling for more energy sources",2025-03-03T17:00:41Z,9602,275,17,News & Politics,News & Politics
Why Toyota And Honda Are Investing In Space Technologies,2025-03-02T17:00:50Z,98796,1606,199,News & Politics,News & Politics
Why Nursing Homes And Hospice Are So Expensive In The U.S.,2025-03-01T17:00:36Z,141919,2257,466,News & Politics,News & Politics
Why it's so hard to find starter homes in the U.S.,2025-02-28T17:00:25Z,5651,149,6,News & Politics,News & Politics
No Speed Limits In Germany? Why The U.S. Doesn’t Have An Autobahn,2025-02-27T17:00:16Z,786155,12958,2903,Autos & Vehicles,Other
China Coffee Wars — Why Starbucks Is Losing The Battle With Luckin,2025-02-26T17:01:09Z,493988,5213,1704,News & Politics,News & Politics
"More Americans are living in malls, as developers get creative to help ease the housing crisis",2025-02-25T17:00:17Z,16870,424,17,News & Politics,News & Politics
"How Google, Microsoft And Amazon Are Racing To Solve The AI Energy Crisis",2025-02-24T17:00:25Z,425093,5734,586,News & Politics,News & Politics
How Sketchy Chemicals Like Red No. 3 End Up In U.S. Food,2025-02-23T15:00:02Z,286638,5430,980,News & Politics,News & Politics
Why The U.S. Has A Health Care Claim Denial Problem,2025-02-22T15:00:40Z,190752,3745,1363,News & Politics,News & Politics
What Is AI Distillation — And How DeepSeek Used It To Blindside OpenAI,2025-02-21T17:00:15Z,343091,4498,739,News & Politics,News & Politics
Why Walmart Is Going After Wealthy Shoppers,2025-02-20T18:02:09Z,559776,6078,1724,News & Politics,News & Politics
Why President Trump's meme coin is raising alarm bells,2025-02-18T17:01:00Z,16030,291,41,News & Politics,News & Politics
Can Boeing Overcome Their Recent Challenges? | CNBC Marathon,2025-02-17T17:00:03Z,328811,3026,540,News & Politics,News & Politics
Trump tariffs are coming — here's how U.S. businesses are avoiding them,2025-02-16T17:00:20Z,21772,470,30,News & Politics,News & Politics
Will Privatizing Fannie Mae And Freddie Mac Mean Higher Mortgage Rates?,2025-02-15T17:00:43Z,302467,3040,590,News & Politics,News & Politics
Why A Shortage Of Airplane Mechanics Is Aviation's Next Challenge,2025-02-14T17:00:39Z,248660,4415,1271,News & Politics,News & Politics
How Private Equity Is Behind Red Lobster And TGI Fridays' Bankruptcies,2025-02-13T17:00:30Z,253535,3131,400,News & Politics,News & Politics
Why restaurants have become so important to shopping malls,2025-02-12T17:00:24Z,15662,300,11,News & Politics,News & Politics
How America Got Hooked On Cars,2025-02-11T17:00:51Z,414232,7708,2145,News & Politics,News & Politics
The Race For Chip Dominance | CNBC Marathon,2025-02-10T17:00:59Z,302630,3287,312,News & Politics,News & Politics
